Agglo;Habitants;Dpt;Zone;Cambriolage;VolVoiture
Perpignan;133705;66;Gendarmerie;4.97;1.82
Persan;37169;95;Police;6.03;4.68
Pertuis;99051;84;Gendarmerie;8.28;2.57
Pezenas Sete;126890;34;Gendarmerie;8.09;3.38
Pierrelatte;68201;26;Gendarmerie;7.36;2.49
Pithiviers;76901;45;Gendarmerie;5.5;1.99
Plaisir;58382;78;Police;2.86;2.24
PloÔrmel;86555;56;Gendarmerie;5.07;0.68
Plourin les Morlaix;108448;29;Gendarmerie;3.43;0.75
Pointe a Pitre;101272;971;Police;9.43;2.93
Pointe a Pitre;55585;971;Gendarmerie;24;2.31
Poissy;95630;78;Police;5.91;2.69
Poitiers;120301;86;Police;4.23;1.01
Poitiers;122816;86;Gendarmerie;2.91;0.58
Polynesie francaise;233579;987;Gendarmerie;3.32;0.24
Pont a Mousson;21572;54;Police;3.85;1.48
Pont Audemer;83830;27;Gendarmerie;4.86;1
Pontarlier;21053;25;Police;6.79;0.85
Pontarlier;84161;25;Gendarmerie;2.69;0.72
Pontault Combault;95577;77;Police;10.52;3.7
Pontivy;91963;56;Gendarmerie;6.34;0.9
Pornic;96642;44;Gendarmerie;7.73;1.87
Porto Vecchio;21402;2A;Gendarmerie;9.91;2.85
Prades;42625;66;Gendarmerie;5.63;1.08
Privas;13516;7;Police;3.55;0.96
Privas;70713;7;Gendarmerie;3.04;1.17
Provins;20561;77;Police;4.91;1.56
Provins;49818;77;Gendarmerie;6.91;2.17
Puget Theniers;24194;6;Gendarmerie;3.68;0.79
Puy en Velay ;64754;43;Gendarmerie;2.13;0.46
Quimper;71414;29;Police;5.49;1.19
Quimper;130526;29;Gendarmerie;3.5;0.41
Quimperle;83895;29;Gendarmerie;2.91;0.39
Rambouillet;40315;78;Police;6.95;1.49
Rambouillet;113144;78;Gendarmerie;5.84;2.49
Redon;101905;35;Gendarmerie;4.25;1.08
Reims;207653;51;Police;5.17;2.32
Reims;81450;51;Gendarmerie;8.12;2.3
Remiremont;20068;88;Police;4.43;0.4
Remiremont;106771;88;Gendarmerie;3.9;0.58
Rennes;236047;35;Police;4.64;0.92
Rennes;168565;35;Gendarmerie;4.56;0.84
Rethel;40023;8;Gendarmerie;3.6;0.97
Revin;41282;8;Gendarmerie;3.51;0.92
Reze;223910;44;Gendarmerie;6.42;1.84
Riberac;53883;24;Gendarmerie;4.55;0.63
Riom;30691;63;Police;5.12;4.5
Riom;87268;63;Gendarmerie;3.8;1.12
Rivesaltes;82311;66;Gendarmerie;7.23;3.21
Roanne;64145;42;Police;3.71;0.94
Roanne;93174;42;Gendarmerie;2.29;0.52
Roche sur Yon ;220349;85;Gendarmerie;3.4;0.86
Rochefort;32898;17;Police;6.78;2.28
Rochefort;120321;17;Gendarmerie;2.49;0.82
Rochelle ;99620;17;Gendarmerie;7.23;2.35
Rodez;40292;12;Police;4;0.57
Rodez;99544;12;Gendarmerie;2.11;0.34
Romans sur Isere;43664;26;Police;7.6;2.79
Romans sur Isere;114613;26;Gendarmerie;6.84;2.9
Romorantin Lanthenay;17027;41;Police;4.4;1.12
Romorantin Lanthenay;95644;41;Gendarmerie;5.63;1.23
Rosieres pres Troyes;80108;10;Gendarmerie;7.79;1.57
Rosny sous Bois;41050;93;Police;7.58;3.97
Roubaix;222288;59;Police;8.32;4.29
Rouen;426863;76;Police;4.17;2.33
Rouen;86817;76;Gendarmerie;2.76;0.74
Royan;30851;17;Police;9.63;1.62
Rueil Malmaison;79426;92;Police;3.9;1.49
Sables d Olonne ;189861;85;Gendarmerie;4.62;0.86
Saint Amand les Eaux;20418;59;Police;4.6;1.47
Saint Amand Montrond;71150;18;Gendarmerie;5.2;1.08
Saint Andre;53955;974;Police;3.87;0.65
Saint Barthelemy;8902;977;Gendarmerie;1.91;1.46
Saint Benoit;118689;974;Gendarmerie;2.58;0.47
Saint Brieuc;72424;22;Police;3.92;0.88
Saint Brieuc;198858;22;Gendarmerie;3.2;0.52
Saint Claude;218480;39;Gendarmerie;2.29;0.56
Saint Claude;218480;971;Gendarmerie;2.56;0.28
Saint Cloud;58304;92;Police;5.4;1.85
Saint Denis;258832;93;Police;6.07;4.38
Saint Denis;258832;974;Police;4.6;1.04
Saint Die des Vosges;28236;88;Police;4.07;0.57
Saint Die des Vosges;95062;88;Gendarmerie;3.78;0.46
Saint Dizier;29958;52;Police;8.75;2.07
Saint Dizier;42131;52;Gendarmerie;4.46;0.93
Saint Etienne;69896;42;Gendarmerie;4.94;1.36
Saint etienne;214085;42;Police;6.82;2.18
Saint Flour;35652;15;Gendarmerie;2.19;0.25
Saint Gaudens;12957;31;Police;7.33;2.62
Saint Gaudens;64541;31;Gendarmerie;4.65;0.91
Saint Germain en Laye;71550;78;Police;4.75;1.23
Saint Germain en Laye;33125;78;Gendarmerie;7.06;2.6
Saint Girons;27834;9;Gendarmerie;5.17;0.83
Saint Jean d Angely;51563;17;Gendarmerie;5.92;1.38
Saint Jean de Luz;46272;64;Police;5.08;0.56
Saint Jean de Maurienne;44579;73;Gendarmerie;3.99;0.81
Saint Julien en Genevois;97336;74;Gendarmerie;7.71;1.49
Saint Junien / Rochechouart;61925;87;Gendarmerie;2.55;0.21
Saint Laurent du Maroni;73848;973;Gendarmerie;2.42;0.19
Saint Lo;23567;50;Police;2.55;1.06
Saint Lo;68421;50;Gendarmerie;1.61;0.48
Saint Louis;26791;68;Police;5.45;0.82
Saint Malo;59314;35;Police;4.55;0.83
Saint Malo;94839;35;Gendarmerie;3.23;1.08
Saint Marcellin;114335;38;Gendarmerie;7.01;2.42
Saint Martin;35692;978;Gendarmerie;10.65;7.51
Saint Maur des Fosses;74816;94;Police;5.16;2.1
Saint Nazaire;67031;44;Police;6.31;1.75
Saint Nazaire;140405;44;Gendarmerie;6.31;1.11
Saint Omer;48271;62;Police;2.57;0.6
Saint Omer;113502;62;Gendarmerie;1.63;0.32
Saint Ouen;47189;93;Police;5.06;2.71
Saint Paul;171806;974;Gendarmerie;2.68;0.83
Saint Pierre;131266;974;Police;2.77;0.62
Saint Pierre;161980;974;Gendarmerie;2.87;0.85
Saint Pierre et Miquelon;6082;975;Gendarmerie;0.99;0.99
Saint Pol sur Ternoise;68809;62;Gendarmerie;2.69;0.8
Saint Quentin;64460;2;Police;5.9;1.91
Saint Quentin;84434;2;Gendarmerie;4.2;1.41
Sainte Genevieve des Bois;75186;91;Police;5.63;3.94
Saintes;26011;17;Police;8.46;2.19
Saintes;99280;17;Gendarmerie;6.14;1.5
Salon de Provence;43152;13;Police;9.22;3.13
Salon de Provence;127828;13;Gendarmerie;8.03;3.23
Sanary sur Mer;59354;83;Police;6.5;1.58
Sarcelles;99670;95;Police;7.87;4.67
Sarlat la Caneda;75035;24;Gendarmerie;3.17;0.28
Sarrebourg;16951;57;Police;4.6;1.06
Sarrebourg;77393;57;Gendarmerie;3.08;0.61
Sarreguemines;21540;57;Police;4.6;0.88
Sarreguemines;78978;57;Gendarmerie;2.06;0.42
Sartene;24411;2A;Gendarmerie;2.83;1.02
Sartrouville;51150;78;Police;4.09;1.19
Saumur;27283;49;Police;7.15;2.53
Saumur;108613;49;Gendarmerie;4.72;1.23
Saverne;93625;67;Gendarmerie;2.09;0.75
Savigny sur Orge;48978;91;Police;7.62;2.96
Sedan;23185;8;Police;2.93;1.21
Sedan;41011;8;Gendarmerie;3.46;0.59
Segre;94162;49;Gendarmerie;4.25;0.58
Selestat;19197;67;Police;5;0.42
Selestat;112174;67;Gendarmerie;3.11;0.44
Senlis;112410;60;Gendarmerie;6.3;4.55
Sens;35132;89;Police;5.47;2.73
Sens;112054;89;Gendarmerie;7.42;2.55
Sete;65300;34;Police;6.11;2.4
Sevres;52474;92;Police;4.55;0.53
Soissons;37681;2;Police;6.16;2.65
Soissons;65148;2;Gendarmerie;4.82;0.87
Somain Pecquencourt;44391;59;Police;3.9;1.4
Soultz Guebwiller;71655;68;Gendarmerie;3.54;0.46
Stains;61712;93;Police;7.29;5.75
Strasbourg;385555;67;Police;4.35;0.77
Strasbourg;146155;67;Gendarmerie;3.11;0.35
Suresnes;46723;92;Police;3.83;0.98
Tarbes;70838;65;Police;5.14;1.27
Tarbes;75783;65;Gendarmerie;3.54;0.37
Taverny;56641;95;Police;5.23;3.3
Tergnier   La Fere;22753;2;Police;2.99;1.54
Thann;81116;68;Gendarmerie;2.68;0.43
Thiers;56864;63;Gendarmerie;4.75;1.65
Thionville;112195;57;Police;5.5;1.51
Thionville;132734;57;Gendarmerie;4.26;0.88
Thonon les Bains;80490;74;Gendarmerie;4.88;0.88
Thouars;13068;79;Police;3.6;0.77
Toul;21962;54;Police;5.96;2.23
Toul;53978;54;Gendarmerie;4.43;1.41
Toulon;239189;83;Police;5.69;1.86
Toulon;35389;83;Gendarmerie;5.88;1.36
Toulouse;524038;31;Police;11.33;2.41
Toulouse Mirail;161827;31;Gendarmerie;5.78;1.19
Toulouse Saint Michel;193983;31;Gendarmerie;7.07;1.12
Tour du Pin ;121791;38;Gendarmerie;6.45;2
Tourcoing;188625;59;Police;5.14;3.17
Tournon sur Rhone;112036;7;Gendarmerie;4.26;1.42
Tours;226119;37;Police;6.74;1.49
Tours;87877;37;Gendarmerie;6.67;0.58
Trappes;29380;78;Police;2.86;2.18
Trevoux;142221;1;Gendarmerie;5.19;1.83
Trouville Deauville;16876;14;Police;14.87;1.24
Troyes;121286;10;Police;7.11;1.2
Tulle;14923;19;Police;3.28;0.74
Ussel;10245;19;Police;4.29;0.39
Ussel;56165;19;Gendarmerie;2.31;0.34
Valence;91490;26;Police;13.16;4.23
Valence;62503;26;Gendarmerie;9.97;3.84
Valenciennes;171689;59;Police;5.65;1.93
Valenciennes;50456;59;Gendarmerie;4.28;0.95
Vannes;52515;56;Police;5.22;0.88
Vannes;184180;56;Gendarmerie;5.36;0.75
Vanves;57984;92;Police;3.31;1.09
Vauvert;106366;30;Gendarmerie;8.07;3.67
Velizy Villacoublay;44181;78;Police;4.8;1.77
Vendome;23413;41;Police;3.5;0.51
Vendome;59042;41;Gendarmerie;3.91;0.46
Verdun;26181;55;Police;6.61;1.3
Verdun;61022;55;Gendarmerie;3.61;0.69
Vernon;32393;27;Police;5.22;2.96
Versailles;125160;78;Police;4;1.17
Vervins;57171;2;Gendarmerie;6.07;2.31
Vesoul;26326;70;Police;4.94;0.76
Vesoul;103480;70;Gendarmerie;4.08;0.86
Vichy;52755;3;Police;6.24;1.1
Vichy;88825;3;Gendarmerie;3.08;0.68
Vienne;34369;38;Police;7.77;3.64
Vienne;149604;38;Gendarmerie;6.22;3
Vierzon;26946;18;Police;7.46;3.01
Vierzon;59831;18;Gendarmerie;5.45;1.07
Vigan ;35031;30;Gendarmerie;4.74;1.2
Villefranche de Lauragais;145345;31;Gendarmerie;7.24;1.05
Villefranche de Rouergue;49940;12;Gendarmerie;3.28;0.5
Villefranche sur Saone;50700;69;Police;5.94;1.18
Villefranche sur Saone;144948;69;Gendarmerie;3.76;1.07
Villeneuve la Garenne;25183;92;Police;3.14;1.95
Villeneuve Saint Georges;67970;94;Police;10.24;4.09
Villeneuve sur Lot;30325;47;Police;5.28;0.86
Villeneuve sur Lot;60818;47;Gendarmerie;4.11;0.53
Villeparisis;35148;77;Police;6.86;4.64
Villepinte;70151;93;Police;5.93;3.99
Villerupt;22342;54;Police;2.82;0.94
Vincennes;70867;94;Police;3.65;1.24
Vire;57776;14;Gendarmerie;1.78;0.64
Vitre;192916;35;Gendarmerie;3.02;0.42
Vitrolles;63075;13;Police;12.32;6.37
Vitry le Francois;53699;51;Gendarmerie;7.32;2.35
Vitry sur Seine;85413;94;Police;5.07;2.55
Voiron;19893;38;Police;5.73;2.51
Vouziers;22457;8;Gendarmerie;4.01;0.67
Wallis et Futuna;13445;986;Gendarmerie;1.26;0
Wissembourg;68376;67;Gendarmerie;1.13;0.51
Wittenheim;26973;68;Police;1.48;0.26
Yssingeaux;82532;43;Gendarmerie;3.85;0.51
Yvetot;110968;76;Gendarmerie;1.73;0.68
